reaction_id,reaction_type,ligand_gold,base_gold,solvent_gold,ligand_topk,base_topk,solvent_topk,ligand_hit,base_hit,solvent_hit
31-367-CAS-22866626,Other,[],7719-09-7,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-22988979,Other,[],7087-68-5,Dimethylformamide|68-12-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23040320,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23040326,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23040400,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23040590,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23040801,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23040945,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23040954,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23041098,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23041868,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
31-367-CAS-23042059,Other,[],121-44-8,Dichloromethane|75-09-2,"['BINAP', 'SPhos', 'XPhos']","['Cs2CO3', 'K2CO3', 'K3PO4']","['Tetrahydrofuran', 'Dimethylformamide', 'THF']",False,False,False
